+--------------------------------------+----------------------------------------------------------------------+
|               Package                |                               License                                |
|          transforms3d 0.4.2          |                             BSD license                              |
|            trimesh 4.0.6             |                        The MIT License (MIT)                         |
|             triton 3.0.0             |                         (Licence not found)                          |
|           truststore 0.8.0           |                         (Licence not found)                          |
|             typepy 1.3.2             |                             MIT License                              |
| types-python-dateutil 2.9.0.20241003 |                              Apache-2.0                              |
|       typing-extensions 4.10.0       |                         (Licence not found)                          |
|             tyro 0.8.14              |                                 MIT                                  |
|          uri-template 1.3.0          |                             MIT License                              |
|           urllib3 1.26.16            |                                 MIT                                  |
|             wandb 0.16.6             |                             MIT License                              |
|             wasabi 1.1.2             |                                 MIT                                  |
|            wcwidth 0.2.13            |                                 MIT                                  |
|           webcolors 24.8.0           |                             BSD-3-Clause                             |
|          webencodings 0.5.1          |                                 BSD                                  |
|        websocket-client 1.8.0        |                              Apache-2.0                              |
|            werkzeug 2.3.7            |                         (Licence not found)                          |
|             wheel 0.43.0             |                         (Licence not found)                          |
|      widgetsnbextension 4.0.13       |                         BSD 3-Clause License                         |
|         xyzservices 2024.6.0         |                             3-Clause BSD                             |
|              zict 3.0.0              |                                 BSD                                  |
|             zipp 3.19.2              |                         (Licence not found)                          |
|           zstandard 0.23.0           |                                 BSD                                  |
+--------------------------------------+----------------------------------------------------------------------+
